Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
29,1732029646803,19/11/2024 15:20:46,1732029646419,-5,19/11/2024 10:20:46,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,,,END TASK,,,,,312542,,,,,0,1,0,,,,,,,,,
1,1732029337824,19/11/2024 15:15:37,1732029337112,-5,19/11/2024 10:15:37,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1732029344586,19/11/2024 15:15:44,1732029343888,-5,19/11/2024 10:15:43,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,5967,,,,,0,1,0,,,,,,Instructions,,,
3,1732029348776,19/11/2024 15:15:48,1732029348099,-5,19/11/2024 10:15:48,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,4194,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
4,1732029360252,19/11/2024 15:16:00,1732029359550,-5,19/11/2024 10:15:59,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,15644,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Instructions,,,
5,1732029361899,19/11/2024 15:16:01,1732029361224,-5,19/11/2024 10:16:01,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x774,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,17350.480000000003,,,,,0,1,0,,,,,,Instructions,,,
6,1732029376895,19/11/2024 15:16:16,1732029376233,-5,19/11/2024 10:16:16,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,14992,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
7,1732029383072,19/11/2024 15:16:23,1732029382300,-5,19/11/2024 10:16:22,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,21057,,,,,0,1,0,,,,,,Instructions,,,
8,1732029387119,19/11/2024 15:16:27,1732029386443,-5,19/11/2024 10:16:26,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,4131,,,,,0,1,0,,,,,,Instructions,,,
9,1732029404854,19/11/2024 15:16:44,1732029404186,-5,19/11/2024 10:16:44,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,17729,,,,,0,1,0,,,,,,Instructions,,,
10,1732029405852,19/11/2024 15:16:45,1732029405178,-5,19/11/2024 10:16:45,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,1,1,Screen 3,Zone3,timelimit_screen,1000.0599999999977,,,,,0,1,0,,,1,,1,Trial,1,HugginsPitch_7_1.flac,1
11,1732029411931,19/11/2024 15:16:51,1732029411256,-5,19/11/2024 10:16:51,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,1,2,Screen 1,content,content_audio,6067,,,,,0,1,0,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
12,1732029414462,19/11/2024 15:16:54,1732029413797,-5,19/11/2024 10:16:53,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,8,1,3,Screen 2,buttonA,response_button_text,2524,,,1,1,1,0,0,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
13,1732029415457,19/11/2024 15:16:55,1732029414794,-5,19/11/2024 10:16:54,196386,5,task-wrbu,,41461496,BLIND,12102281,,complete,,673cab32f283820082fe197c,computer,Desktop or Laptop,Mac OS 10.14,Firefox 115.0,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB32,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,2,1,Screen 3,Zone3,timelimit_screen,1000.9200000000128,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_10_2.flac,1
